artigoEmPeriodico	2013		A fast Poisson solver for hybrid reconfigurable system	Lecture Notes in Computer Science	Gomes, V. C. F. ; Campos Velho, H. F. ; Campos Velho, H. F. ; CHARAO, A. S.	C	
trabalhoCompletoEmCongresso	2010		Energy-Aware Scheduling of Parallel Programs	Conferencia Latino Americana de Computación de Alto Rendimiento	CARISSIMI, A. S. ; GEYER, C. F. R. ; MAILLARD, N. B. ; NAVAUX, P. O. A. ; CAVALHEIRO, G. G. H. ; PILLA, M. L. ; YAMIN, A. ; CHARAO, A. S. ; STEIN, B. O. ; ROSE, C. A. ; FERNANDES, G. ; FERRETO, T. ; ZORZO, A.	Qualis nao identificado	Conferencia Latino Americana de Computación de Alto Rendimiento
trabalhoCompletoEmCongresso	2010		CertificaPET: Sistema Gerenciador de Certificados de Eventos em Formato Digital	Workshop de Software Livre	PEREIRA, A. ; PINTO, V. G. ; CHARAO, A. S.	Qualis nao identificado	Workshop de Software Livre
trabalhoCompletoEmCongresso	2009		Automação de Refatorações para Programas Fortran de Alto Desempenho	Simpósio de Sistemas Computacionais de Alto Desempenho - WSCAD-SSC	BONIATI, B. B. ; CHARAO, A. S. ; STEIN, B. O.	Qualis nao identificado	Simpósio de Sistemas Computacionais de Alto Desempenho - WSCAD-SSC
trabalhoCompletoEmCongresso	2009		FlexVAPs: a system for managing virtual appliances for heterogeneous virtualized environments	IEEE/IFIP 6th Latin American Network Operations and Management Symposium	KREUTZ, D. L. ; CHARAO, A. S.	B4	Latin American Network Operations and Management Symposium
trabalhoCompletoEmCongresso	2009		Frameworks para Desenvolvimento Rápido de Aplicações Web: um Estudo de Caso com CakePHP e Django	Workshop de Software Livre	PEREIRA, A. ; COGO, V. V. ; CHARAO, A. S.	Qualis nao identificado	Workshop de Software Livre
trabalhoCompletoEmCongresso	2009		Method for multi-spectral tomographic reconstruction of chlorophyll concentration for ocean water	XIV Simpósio Brasileiro de Sensoriamento Remoto (XIV SBSR)	SOUTO, R. P. ; PAES, F. F. ; VELHO, H. F. C. ; STEPHANY, S. ; PRETO, A. J. ; CHARAO, A. S. ; VIZZOTTO, J. K. ; NAVAUX, P. O. A. ; MAILLARD, N. B.	Qualis nao identificado	XIV Simpósio Brasileiro de Sensoriamento Remoto (XIV SBSR)
trabalhoCompletoEmCongresso	2008		Projeto e Implementação de um Mural Digital com Reaproveitamento de Computadores Obsoletos	Workshop de Software Livre	COGO, V. V. ; VIERA, M. A. ; TESSER, R. K. ; BEVILACQUA, F. ; CHARAO, A. S.	Qualis nao identificado	Workshop de Software Livre
trabalhoCompletoEmCongresso	2008		Uma Metodologia para Oficinas de Inclusão Digital com Público-Alvo Heterogêneo	Simpósio de Informática da Região Centro do RS (SIRC/RS)	FOGLIATTO, J. A. ; SANTOS, A. K. ; CHARAO, A. S.	Qualis nao identificado	Simpósio de Informática da Região Centro do RS (SIRC/RS)
trabalhoCompletoEmCongresso	2008		VXDL: Virtual Resources and Interconnection Networks Description Language	Second International Conference on Networks for Grid Applications - GridNets 2008	KOSLOVSKI, G. P. ; PRIMET, P. V. ; CHARAO, A. S.	Qualis nao identificado	Second International Conference on Networks for Grid Applications - GridNets 2008
trabalhoCompletoEmCongresso	2008		Análise Comparativa de Desempenho do Hipervisor Xen: Paravirtualização versus Virtualização Total	Simpósio de Sistemas Computacionais de Alto Desempenho - WSCAD-SSC	SANTOS, R. C. M. ; CHARAO, A. S.	Qualis nao identificado	Simpósio de Sistemas Computacionais de Alto Desempenho - WSCAD-SSC
trabalhoCompletoEmCongresso	2007		Análise da Plataforma J2ME através de um estudo de caso na área de jogos multiplayer	VI Simpósio Brasileiro de Jogos para Computador e Entretenimento Digital	BEVILACQUA, F. ; POZZER, C. T. ; CHARAO, A. S.	B4	Simpósio Brasileiro de Jogos e Entretenimento Digital
trabalhoCompletoEmCongresso	2007		Módulo de Descoberta Automática de Monitores de Máquinas Virtuais Xen	VIII Workshop de Software Livre	KOSLOVSKI, G. P. ; BOUFLEUR, M. P. ; CHARAO, A. S.	Qualis nao identificado	VIII Workshop de Software Livre
trabalhoCompletoEmCongresso	2007		AdXen: Uma Ferramenta para Administração de Arquiteturas Virtualizadas Distribuídas Baseadas em Xen	VIII Workshop em Sistemas Computacionais de Alto Desempenho	KOSLOVSKI, G. P. ; BOUFLEUR, M. P. ; CHARAO, A. S.	Qualis nao identificado	VIII Workshop em Sistemas Computacionais de Alto Desempenho
trabalhoCompletoEmCongresso	2007		A Peer-to-Peer Architecture for Automatic Software Package Installation on Heterogeneous Clusters	CLEI 2007 - XXXIII Latin American Conference on Informatics	KREUTZ, D. L. ; NEVES, M. V. ; MATHIAS, E. N. ; SCHEID, T. ; CHARAO, A. S.	Qualis nao identificado	CLEI 2007 - XXXIII Latin American Conference on Informatics
trabalhoCompletoEmCongresso	2007		Avaliação do Suporte à Programação Multithread com OpenMP no Compilador GCC	VIII Workshop de Software Livre	OLIVEIRA, R. L. ; REIS, T. A. ; VIERA, M. A. ; CHARAO, A. S.	Qualis nao identificado	VIII Workshop de Software Livre
trabalhoCompletoEmCongresso	2007		Automatização da Criação de Mapas com o Google Maps	VI Simpósio de Informática da Região Centro do RS	REIS, T. A. ; BOUFLEUR, M. P. ; VIZZOTTO, J. K. ; VELHO, H. F. C. ; CHARAO, A. S.	Qualis nao identificado	VI Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	2007		Análise de Desempenho da Virtualização de Rede nos Sistemas Xen e OpenVZ	V ERRC - Escola Regional de Redes de Computadores	SCHMIDT, A. H. ; SANTOS, R. C. M. ; BOUFLEUR, M. P. ; CHARAO, A. S.	Qualis nao identificado	V ERRC - Escola Regional de Redes de Computadores
trabalhoCompletoEmCongresso	2006		Avaliação do Uso de Xen em Ambientes de Computação de Alto Desempenho	Workshop de Sistemas Computacionais de Alto Desempenho	BOUFLEUR, M. P. ; KOSLOVSKI, G. P. ; CHARAO, A. S.	Qualis nao identificado	Workshop de Sistemas Computacionais de Alto Desempenho
trabalhoCompletoEmCongresso	2006		Uso de Virtualização de Recursos Computacionais na Administração de Redes	Escola Regional de Redes de Computadores	BOUFLEUR, M. P. ; KOSLOVSKI, G. P. ; CHARAO, A. S.	Qualis nao identificado	Escola Regional de Redes de Computadores
trabalhoCompletoEmCongresso	2006		Avaliação do Desempenho da Migração de Máquinas Virtuais em Xen	Simpósio de Informática da Região Centro do RS (SIRC/RS)	BOUFLEUR, M. P. ; KOSLOVSKI, G. P. ; CHARAO, A. S.	Qualis nao identificado	Simpósio de Informática da Região Centro do RS (SIRC/RS)
trabalhoCompletoEmCongresso	2006		Clumpt: Um Sistema Peer-to-Peer para Instalação e Manutenção de Software em Aglomerados de Computadores	Workshop de Peer-to-Peer (WP2P)	KREUTZ, D. L. ; NEVES, M. V. ; MATHIAS, E. N. ; SCHEID, T. ; CHARAO, A. S. ; RIGHI, R.	B5	Workshop de Peer to Peer
trabalhoCompletoEmCongresso	2006		Um Modelo de Dados para uma Ferramenta de Gerenciamento Eletrônico de Documentos Arquivísticos	Congresso Nacional de Arquivologia	LUCCA, G. ; CHARAO, A. S. ; STEIN, B. O.	Qualis nao identificado	Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2006		Projeto de uma Ferramenta para Gerenciamento Eletrônico de Documentos Arquivísticos Baseada em Software Livre	Encontro Nacional de Engenharia de Produção (ENEGEP)	LUCCA, G. ; CHARAO, A. S. ; STEIN, B. O.	Qualis nao identificado	Encontro Nacional de Engenharia de Produção (ENEGEP)
trabalhoCompletoEmCongresso	2006		Paralelização de uma Aplicação para Análise de Dados Micrometeorológicos Utilizando uma Abordagem Peer-to-Peer	Simpósio de Informática da Região Centro do RS	NEVES, M. V. ; SCHEID, T. ; CHARAO, A. S.	Qualis nao identificado	Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	2006		Utilização de Tecnologias Web para Preservação e Difusão de uma Publicação Histórica sobre a Cidade de Santa Maria	Simpósio de Informática da Região Centro do RS	VICENTINI, C. F. ; CAFARATE, L. S. ; MAZZANTI, E. S. ; CHARAO, A. S.	Qualis nao identificado	Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	2005		Extensão da Ferramenta IC2D para Monitoração de Carga em Clusters e Grids de Computadores	IV Simpósio de Informática da Região Centro do RS	MATHIAS, E. N. ; NEVES, M. V. ; ARAUJO NETO, E. P. ; CHARAO, A. S. ; PASIN, M.	Qualis nao identificado	IV Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	2005		Monitoração de clusters com a ferramenta Ganglia: avaliação e adaptação	WSL2005 - Sexto Workshop Software Livre 2005	NEVES, M. V. ; SCHEID, T. ; CHARAO, A. S.	Qualis nao identificado	WSL2005 - Sexto Workshop Software Livre 2005
trabalhoCompletoEmCongresso	2005		Comparação entre Plataformas Peer-to-Peer para Desenvolvimento de Aplicações de Computação Distribuída	IV Simpósio de Informática da Região Centro do RS	NEVES, M. V. ; SCHEID, T. ; MATHIAS, E. N. ; ARAUJO NETO, E. P. ; CHARAO, A. S.	Qualis nao identificado	IV Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	2004		Integração de Ganglia, libRastro e Pajé para o Monitoramento de Aplicações Paralelas	Quinto Workshop em Sistemas Computacionais de Alto Desempenho	NEVES, M. V. ; SCHEID, T. ; SCHNORR, L. M. ; CHARAO, A. S.	Qualis nao identificado	Quinto Workshop em Sistemas Computacionais de Alto Desempenho
trabalhoCompletoEmCongresso	2004		Utilizando a Biblioteca JMP em Arquiteturas de Memória Compartilhada	III Simpósio de Informática da Região Centro do RS	SCHEPKE, C. ; CHARAO, A. S.	Qualis nao identificado	III Simpósio de Informática da Região Centro do RS
trabalhoCompletoEmCongresso	2003		Gerenciamento Eletrônico de Documentos e o Uso de Software Livre em Arquivologia	Encontro Nacional de Estudantes de Arquivologia	BECK, D. A. ; CHARAO, A. S.	Qualis nao identificado	Encontro Nacional de Estudantes de Arquivologia
trabalhoCompletoEmCongresso	2003		Análise de Produtos para Gerenciamento Eletrônico de Documentos	IV CINFORM - Encontro Nacional de Ciência da Informação	SANTOS, F. C. ; CHARAO, A. S. ; FLORES, D.	Qualis nao identificado	IV CINFORM - Encontro Nacional de Ciência da Informação
trabalhoCompletoEmCongresso	2002		Generic parallel multithreaded programming of domain decomposition methods on PC clusters	14th International Conference on Domain Decomposition Methods	CHARAO, A. S. ; CHARPENTIER, I. ; PLATEAU, B. ; STEIN, B. O.	Qualis nao identificado	14th International Conference on Domain Decomposition Methods
trabalhoCompletoEmCongresso	2000		Ahpik: A Parallel Multithreaded Framework using Adaptivity and Domain Decomposition Methods for Solving PDE Problems	13th International Conference on Domain Decomposition Methods	ABDALLAH, A. B. ; CHARAO, A. S. ; CHARPENTIER, I. ; PLATEAU, B.	Qualis nao identificado	13th International Conference on Domain Decomposition Methods
trabalhoCompletoEmCongresso	1999		A Framework for Parallel Multithreaded Implementation of Domain Decomposition Methods	ParCo'99	CHARAO, A. S. ; CHARPENTIER, I. ; PLATEAU, B.	Qualis nao identificado	ParCo'99
trabalhoCompletoEmCongresso	1999		Un environnement modulaire pour l'exploitation des processus légers dans les méthodes de décomposition de domaine	RenPar'99	CHARAO, A. S. ; CHARPENTIER, I. ; PLATEAU, B.	Qualis nao identificado	RenPar'99
resumoExpandidoEmCongresso	2012	Panorama sobre Técnicas de Escalonamento da Voltagem e da Frequência do Processador em Clusters e Grades	ERAD 2012 - Fórum de Pós-Graduação, 2012, Erechim, RS. Anais ERAD 2012	ALBIERO, F. W. ; STEIN, B. O. ; CHARAO, A. S.	Qualis nao identificado	ERAD 2012 - Fórum de Pós-Graduação, 2012, Erechim, RS. Anais ERAD 2012
resumoExpandidoEmCongresso	2012	Utilizando OpenCL para Acelerar um Modelo de Simulação Atmosférica	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada	BERNARDI, C. A. C. ; MADALOSSO, O. M. ; CHARAO, A. S.	Qualis nao identificado	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada
resumoExpandidoEmCongresso	2012	Análise de Profilers para Programas em Java: Estudo de Caso Aplicado ao Algoritmo M5P do Software Weka	WSCAD-WIC 2012 / Simpósio em Sistemas Computacionais / Workshop de IC, 2012, Petrópolis, RJ. Anais WSCAD-WIC 2012	BERNARDI, C. A. C. ; MADALOSSO, O. M. ; CHARAO, A. S. ; WINCK, A. T. ; MACHADO, K.	B4	Simpósio em Sistemas Computacionais
resumoExpandidoEmCongresso	2012	Ambiente de acesso seguro a nuvem privada: uma proposta voltada à rede da UNIPAMPA	ERRC 2012 - Escola Regional de Redes de Computadores / Pós-Graduação, 2012, Pelotas, RS. Anais ERRC 2012	BORGES, D. P. ; SULZBACH, M. ; CHARAO, A. S. ; STEIN, B. O. ; MEDINA, R. D.	Qualis nao identificado	ERRC 2012 - Escola Regional de Redes de Computadores / Pós-Graduação, 2012, Pelotas, RS. Anais ERRC 2012
resumoExpandidoEmCongresso	2012	Protótipo de Aplicativo Móvel em Plataforma Android para Controle de Frequência em Sala de Aula	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada	CASSALES, G. W. ; CARDOZO, G. R. ; CHARAO, A. S.	Qualis nao identificado	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada
resumoExpandidoEmCongresso	2012	Experiência de Injeção de Falhas no DataNode do Apache Hadoop	ERAD 2012 - Sessão de Iniciação Científica, 2012, Erechim, RS. Anais ERAD 2012	GONDIM, E. M. ; BARCELOS, P. P. A. ; CHARAO, A. S.	Qualis nao identificado	ERAD 2012 - Sessão de Iniciação Científica, 2012, Erechim, RS. Anais ERAD 2012
resumoExpandidoEmCongresso	2012	Explorando o Framework de Injeção de Falhas do Apache Hadoop	WSCAD-WIC 2012 / Simpósio em Sistemas Computacionais / Workshop de IC, 2012, Petrópolis, RJ. Anais WSCAD-WIC 2012	GONDIM, E. M. ; BARCELOS, P. P. A. ; CHARAO, A. S.	B4	Simpósio em Sistemas Computacionais
resumoExpandidoEmCongresso	2012	Desenvolvimento de Sistema para controle de ACG dos cursos de Sistemas de Informação e Ciência da Computação da UFSM: Integração à base de dados LDAP	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada	LUNARDI, G. M. ; MOURA, J. L. ; CHARAO, A. S. ; CASSAL, M. L.	Qualis nao identificado	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada
resumoExpandidoEmCongresso	2012	Eliminando Papel no Registro de ACGs: uma Aplicação de Gerenciamento de Processos de Negócio nos Cursos de Ciência da Computação e Sistemas de Informação da UFSM	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada	MOURA, J. L. ; LUNARDI, G. M. ; CHARAO, A. S. ; STEIN, B. O. ; BARCELOS, P. P. A.	Qualis nao identificado	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada
resumoExpandidoEmCongresso	2012	Um Estudo sobre Configurações de Economia de Energia no Gerenciador de Recursos OAR	ERAD 2012 - Sessão de Iniciação Científica, 2012, Erechim, RS. Anais ERAD 2012	NASCIMENTO FILHO, R. L. ; ALBIERO, F. W. ; CHARAO, A. S. ; STEIN, B. O.	Qualis nao identificado	ERAD 2012 - Sessão de Iniciação Científica, 2012, Erechim, RS. Anais ERAD 2012
resumoExpandidoEmCongresso	2012	Adicionando Variáveis a um Tipo Derivado: Refatoração no Photran	ERAD 2012 - Sessão de Iniciação Científica, 2012, Erechim, RS. Anais ERAD 2012	NASCIMENTO FILHO, R. L. ; CHARAO, A. S.	Qualis nao identificado	ERAD 2012 - Sessão de Iniciação Científica, 2012, Erechim, RS. Anais ERAD 2012
resumoExpandidoEmCongresso	2012	Catálogo de Refatorações para a Evolução de Programas em Linguagem Fortran	ERAD 2012 - Fórum de Pós-Graduação, 2012, Erechim, RS. Anais ERAD 2012	RISSETTI, G. ; CHARAO, A. S. ; PIVETA, E. K.	Qualis nao identificado	ERAD 2012 - Fórum de Pós-Graduação, 2012, Erechim, RS. Anais ERAD 2012
resumoExpandidoEmCongresso	2012	Explorando a Google Provisioning API para gerenciamento automático de grupos de discussão na rede da Informática/UFSM	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada	SCHEID, E. J. ; CHARAO, A. S. ; STEIN, B. O.	Qualis nao identificado	27ª Jornada Acadêmica Integrada, 2012, Santa Maria, RS. Anais 27ª Jornada Acadêmica Integrada
resumoExpandidoEmCongresso	2012	Computação em Nuvem com Google Apps for Education: o Caso do Núcleo de Ciência da Computação da Universidade Federal de Santa Maria	ERRC 2012 - Escola Regional de Redes de Computadores / Iniciação Científica, 2012, Pelotas, RS. Anais ERRC 2012	SCHEID, E. J. ; MINATO, L. H. ; STEIN, B. O. ; CHARAO, A. S.	Qualis nao identificado	ERRC 2012 - Escola Regional de Redes de Computadores / Iniciação Científica, 2012, Pelotas, RS. Anais ERRC 2012
resumoExpandidoEmCongresso	2012	Análise automática de acessos concorrentes a dados para refatoração de código sequencial em código paralelo OpenMP	ERAD 2012 - Fórum de Pós-Graduação, 2012, Erechim, RS. Anais ERAD 2012	TIETZMANN, D. K. ; CHARAO, A. S.	Qualis nao identificado	ERAD 2012 - Fórum de Pós-Graduação, 2012, Erechim, RS. Anais ERAD 2012
resumoExpandidoEmCongresso	2011	Análise dos Mecanismos de Tolerância a Falhas do Framework Apache Hadoop para Computação Distribuída	26a Jornada Acadêmica Integrada (JAI), 2011, Santa Maria, RS. Anais da 26a Jornada Acadêmica Integrada (JAI). Santa Maria, RS: Universidade Federal de Santa Maria	GONDIM, E. M. ; BARCELOS, P. P. A. ; PRATES, B. P. ; CHARAO, A. S.	Qualis nao identificado	26a Jornada Acadêmica Integrada (JAI), 2011, Santa Maria, RS. Anais da 26a Jornada Acadêmica Integrada (JAI). Santa Maria, RS: Universidade Federal de Santa Maria
