artigoEmPeriodico	2013		A fast Poisson solver for hybrid reconfigurable system	Lecture Notes in Computer Science	Gomes, V. C. F. ; Campos Velho, H. F. ; Campos Velho, H. F. ; CHARAO, A. S.	Qualis nao identificado	Lecture Notes in Computer Science
resumoExpandidoEmCongresso	2011	Análise de Alternativas para Injeção de Falhas no Apache Hadoop	WSCAD-WIC 2011 - Workshop de Iniciação Científica do XII Simpósio em Sistemas Computacionais de Alto Desempenho, 2011, Vitória, ES. Anais do WSCAD-SSC 2011 - XII Simpósio em Sistemas Computacionais de Alto Desempenho	GONDIM, E. M. ; PRATES, B. P. ; BARCELOS, P. P. A. ; CHARAO, A. S.	B4	Simpósio em Sistemas Computacionais
resumoExpandidoEmCongresso	2011	Avaliação do Desempenho de um Algoritmo de Mineração de Dados do Pacote Estatístico R	XI Escola Regional de Alto Desempenho (ERAD 2011), 2011, Porto Alegre, RS. Anais da XI Escola Regional de Alto Desempenho (ERAD 2011). Porto Alegre, RS	LUNARDI, G. M. ; BARCELOS, P. P. A. ; CHARAO, A. S.	B5	Escola Regional de Alto Desempenho
resumoExpandidoEmCongresso	2011	Economia de Energia no Gerenciamento de Recursos Computacionais: um Estudo de Caso com Green OAR	26a Jornada Acadêmica Integrada (JAI), 2011, Santa Maria, RS. Anais da 26a Jornada Acadêmica Integrada (JAI). Santa Maria, RS: Universidade Federal de Santa Maria	NASCIMENTO FILHO, R. L. ; CHARAO, A. S.	Qualis nao identificado	26a Jornada Acadêmica Integrada (JAI), 2011, Santa Maria, RS. Anais da 26a Jornada Acadêmica Integrada (JAI). Santa Maria, RS: Universidade Federal de Santa Maria
resumoExpandidoEmCongresso	2011	Análise de Desempenho da Ferramenta Apache Mahout para Mineração de Dados Distribuída	XI Escola Regional de Alto Desempenho (ERAD 2011), 2011, Porto Alegre, RS. Anais da XI Escola Regional de Alto Desempenho (ERAD 2011). Porto Alegre, RS	PEREIRA, A. ; CHARAO, A. S. ; ROSE, C. A. F.	B5	Escola Regional de Alto Desempenho
resumoExpandidoEmCongresso	2011	Experimentos de Mineração de Dados Paralela e Distribuída com Grid Weka	XI Escola Regional de Alto Desempenho (ERAD 2011), 2011, Porto Alegre, RS. Anais da XI Escola Regional de Alto Desempenho (ERAD 2011). Porto Alegre, RS	PINTO, V. G. ; CHARAO, A. S. ; ROSE, C. A.	B5	Escola Regional de Alto Desempenho
resumoExpandidoEmCongresso	2011	Análise Comparativa de Ambientes Integrados de Desenvolvimento para a Linguagem Haskell	26a Jornada Acadêmica Integrada (JAI), 2011, Santa Maria, RS. Anais da 26a Jornada Acadêmica Integrada (JAI). Santa Maria, RS: Universidade Federal de Santa Maria	RUSSI, D. F. ; CHARAO, A. S.	Qualis nao identificado	26a Jornada Acadêmica Integrada (JAI), 2011, Santa Maria, RS. Anais da 26a Jornada Acadêmica Integrada (JAI). Santa Maria, RS: Universidade Federal de Santa Maria
resumoExpandidoEmCongresso	2011	Refatorando laços de repetição em programas Fortran de alto desempenho	XI Escola Regional de Alto Desempenho (ERAD 2011), 2011, Porto Alegre, RS. Anais da XI Escola Regional de Alto Desempenho (ERAD 2011). Porto Alegre, RS	TIETZMANN, D. K. ; CHARAO, A. S.	B5	Escola Regional de Alto Desempenho
resumoExpandidoEmCongresso	2010	Uma Comparação entre os Principais Frameworks de Plataformas como Serviço em Cloud Computing	X Escola Regional de Alto Desempenho (ERAD 2010), 2010, Passo Fundo, RS. Anais da X Escola Regional de Alto Desempenho (ERAD 2010). Passo Fundo, RS	BARBOSA, F. P. ; CHARAO, A. S.	B5	Escola Regional de Alto Desempenho
resumoExpandidoEmCongresso	2010	Geração Automatizada de Portais Web para Grades Computacionais	X Escola Regional de Alto Desempenho (ERAD 2010), 2010, Passo Fundo, RS. Anais da X Escola Regional de Alto Desempenho (ERAD 2010). Passo Fundo, RS	FRUH, L. G. ; CHARAO, A. S.	B5	Escola Regional de Alto Desempenho
resumoExpandidoEmCongresso	2010	Uma arquitetura de Hashing SHA-2 com alto throughput para sistema híbrido reconfigurável	X Escola Regional de Alto Desempenho (ERAD 2010), 2010, Passo Fundo, RS. Anais da X Escola Regional de Alto Desempenho (ERAD 2010). Passo Fundo, RS	GOMES, V. C. F. ; CHARAO, A. S. ; VELHO, H. F. C. ; CALEGARO, B. C.	B5	Escola Regional de Alto Desempenho
resumoExpandidoEmCongresso	2010	Incorporação de novas refatorações para linguagem Fortran no IDE Eclipse	X Escola Regional de Alto Desempenho (ERAD 2010), 2010, Passo Fundo, RS. Anais da X Escola Regional de Alto Desempenho (ERAD 2010). Passo Fundo, RS	RISSETTI, G. ; CHARAO, A. S. ; BONIATI, B. B.	B5	Escola Regional de Alto Desempenho
