artigoEmPeriodico	2007		X-BDI e AgentSpeak(L): X-BDI e AgentSpeak(L): o processo de conversão de um Tutor Inteligente	Hífen (Uruguaiana)	GOULART, R. R. V. ; PEREZ, Cláudia Camerini Correa ; GIRAFFA, L. M. M. ; ZAMBERLAN, A. O.	C	Hífen (Uruguaiana. Online)
trabalhoCompletoEmCongresso	2005		Gerart: ferramenta para gerenciamento de artigos	Seminário de Informática do RS - SEMINFO	ZAMBERLAN, A. O. ; BARROS, P. R. M. ; BEZ, Marta Rosecler ; HECKLER, R.	Qualis nao identificado	Seminário de Informática do RS - SEMINFO
trabalhoCompletoEmCongresso	2001		Working on student models (really) based on mental states	4th International Conference on Computational Intelligence and Multimedia	GIRAFFA, L. M. M. ; MÓRA, M. C. ; ZAMBERLAN, A. O.	B2	International Conference on Computational Inteligence and Multimedia Applications
trabalhoCompletoEmCongresso	2001		Em direção a uma técnica para programação orientada a agentes	Seminários de andamento	ZAMBERLAN, A. O. ; GIRAFFA, L. M. M.	Qualis nao identificado	Seminários de andamento
trabalhoCompletoEmCongresso	2001		E-BDI: um editor para programação orientada a agentes BDI	XXI Congresso da Sociedade Brasileira de Computação	ZAMBERLAN, A. O. ; GIRAFFA, L. M. M. ; MÓRA, M. C.	Qualis nao identificado	XXI Congresso da Sociedade Brasileira de Computação
trabalhoCompletoEmCongresso	2000		Um editor para programação orientada a agentes	II Workshop sobre ambientes de aprendizagem baseados em agentes	ZAMBERLAN, A. O. ; GIRAFFA, L. M. M. ; MÓRA, M.	Qualis nao identificado	II Workshop sobre ambientes de aprendizagem baseados em agentes
trabalhoCompletoEmCongresso	2000		Agentes cognitivos modelados com BDI	I Workshop em Informática na Educação: uma nova abordagem educacional	ZAMBERLAN, A. O. ; GIRAFFA, L. M. M. ; MÓRA, M.	Qualis nao identificado	I Workshop em Informática na Educação: uma nova abordagem educacional
resumoExpandidoEmCongresso	2013	Proposta de Integração entre CAD e CNC para Máquinas de Corte	XII SIRC - SIMPÓSIO DE INFORMÁTICA, 2013, Santa Maria. XII SIRC - SIMPÓSIO DE INFORMÁTICA	FIGUEIREDO, H. R. ; ZAMBERLAN, A. O. ; PEROZZO, R. F.	Qualis nao identificado	XII SIRC - SIMPÓSIO DE INFORMÁTICA, 2013, Santa Maria. XII SIRC - SIMPÓSIO DE INFORMÁTICA
resumoExpandidoEmCongresso	2013	Descoberta de Serviços e Dispositivos de Automação Microcontrolados em Ambientes Inteligentes	XII SIRC - SIMPÓSIO DE INFORMÁTICA, 2013, Santa Maria. XII SIRC - SIMPÓSIO DE INFORMÁTICA	PEROZZO, R. F. ; ZAMBERLAN, A. O.	Qualis nao identificado	XII SIRC - SIMPÓSIO DE INFORMÁTICA, 2013, Santa Maria. XII SIRC - SIMPÓSIO DE INFORMÁTICA
resumoExpandidoEmCongresso	2013	PROPOSTA DE UM GUIA COM BOAS PRÁTICAS DE SEGURANÇA DA INFORMAÇÃO	XVII SIMPÓSIO DE ENSINO, PESQUISA E EXTENSÃO, 2013, Santa Maria. Educação e cultura para a transformação de pessoas. Santa Maria: Centro Universitário Franciscano	VIEIRA, Sylvio André Garcia ; ZAMBERLAN, A. O. ; CORDERO, Eduardo Zamberlan	Qualis nao identificado	XVII SIMPÓSIO DE ENSINO, PESQUISA E EXTENSÃO, 2013, Santa Maria. Educação e cultura para a transformação de pessoas. Santa Maria: Centro Universitário Franciscano
resumoExpandidoEmCongresso	2013	UM JOGO DE LABIRINTO UTILIZANDO INTELIGÊNCIA ARTIFICIAL	XVII SIMPÓSIO DE ENSINO, PESQUISA E EXTENSÃO, 2013, Santa Maria. Educação e cultura para a transformação de pessoas. Santa Maria: Centro Universitário Franciscano	ZAMBERLAN, A. O. ; DUTRA, E. R. F. ; KURTZ, G. C. ; PEREIRA, H. G. G.	Qualis nao identificado	XVII SIMPÓSIO DE ENSINO, PESQUISA E EXTENSÃO, 2013, Santa Maria. Educação e cultura para a transformação de pessoas. Santa Maria: Centro Universitário Franciscano
resumoExpandidoEmCongresso	2013	SISTEMA DE INFORMAÇÃO PARA AUXILIAR O CONTROLE DA DIABETES	XVII SIMPÓSIO DE ENSINO, PESQUISA E EXTENSÃO, 2013, Santa Maria. Educação e cultura para a transformação de pessoas. Santa Maria: Centro Universitário Franciscano	ZAMBERLAN, A. O. ; RATH, R. ; TEIXEIRA, L. S. ; VIEIRA, Sylvio André Garcia	Qualis nao identificado	XVII SIMPÓSIO DE ENSINO, PESQUISA E EXTENSÃO, 2013, Santa Maria. Educação e cultura para a transformação de pessoas. Santa Maria: Centro Universitário Franciscano
