trabalhoCompletoEmCongresso	Iara Augustin	2005		DIMI - um Disseminador Multicast de Informações para a Arquitetura ISAM	SBRC 2005 - Workshop Peer-to-Peer (WP2P)	MORAES, Mauricio Coutinho ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; SILVA, Luciano Cavalheiro da ; GEYER, Cláudio F Resin	B5	WP2P
trabalhoCompletoEmCongresso	Iara Augustin	2005		A Scalable Dissemination Service for the ISAM Architecture	17th Symposium International on Computer Architecture and High Performance Computing	MORAES, Mauricio Coutinho ; SILVA, Luciano Cavalheiro da ; EGON FILHO, Alberto S ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin	Qualis nao identificado	17th Symposium International on Computer Architecture and High Performance Computing
trabalhoCompletoEmCongresso	Iara Augustin	2005		Managing the Follow-me Semantics to Build Large-Scale Pervasive Applications	6th International Middleware Conference - 3rd Internacional Workshop on Middleware for Pervasive and Adhoc Computing (MPAC)	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin ; SILVA, Luciano Cavalheiro da ; REAL, Rodrigo Araujo	B3	MPAC
trabalhoCompletoEmCongresso	Iara Augustin	2005		EXEHDA Middleware: Aspects to Manage the ISAM Pervasive Environment	XXV International Conference of the Chilean Computer Science Society (SCCC)	YAMIN, Adenauer Correa ; AUGUSTIN, I. ; SILVA, Luciano Cavalheiro da ; GEYER, Cláudio F Resin	B3	International Conference of the Chilean Computer Science Society
trabalhoCompletoEmCongresso	Iara Augustin	2005		EXEHDA: Adaptive Middleware for Building a Pervasive Grid Environment	International Conference on Self-Organization and Adaptation of Multi-Agent and Grid Systems (SOAS)	YAMIN, Adenauer Correa ; AUGUSTIN, I. ; SILVA, Luciano Cavalheiro da ; REAL, Rodrigo Araujo ; GEYER, Cláudio F Resin	B4	SOAS
trabalhoCompletoEmCongresso	Iara Augustin	2005		Middleware to Support Pervasive Grid Applications	6th International Middleware Conference - Workshop on Middleware for Grid Computing	YAMIN, Adenauer Correa ; AUGUSTIN, I. ; SILVA, Luciano Cavalheiro da ; REAL, Rodrigo Araujo ; S FILHO, Alberto Egon ; GEYER, Cláudio F Resin	Qualis nao identificado	6th International Middleware Conference - Workshop on Middleware for Grid Computing
trabalhoCompletoEmCongresso	Iara Augustin	2005		Comunicação entre Coponentes da Aplicação em Ambiente Pervasivo	VIII Forum de Tecnologias e XV Seminário Regional de Informática (SRI 2005)	PIRES, Rafael Pereira ; AUGUSTIN, I. ; LIMA, João Carlos Damasceno	Qualis nao identificado	VIII Forum de Tecnologias e XV Seminário Regional de Informática (SRI 2005)
trabalhoCompletoEmCongresso	Iara Augustin	2005		Análise de Alternativas a Apresentação Consciente do Dispositivo em um Ambiente Pervasivo	VIII Forum de Tecnologias e XV Seminário Regional de Informática (SRI 2005)	BELUSSO, Rubens Cesar ; AUGUSTIN, I. ; LIMA, João Carlos Damasceno	Qualis nao identificado	VIII Forum de Tecnologias e XV Seminário Regional de Informática (SRI 2005)
trabalhoCompletoEmCongresso	Iara Augustin	2005		Definindo e Usando Contexto Derivado de Multi-Sensores	3a. Escola Regional de Redes de Computadores (ERRC 2005)	FEHLBERG, Felipe Weber ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; SILVA, Luciano Cavalheiro da ; GEYER, Cláudio F Resin	Qualis nao identificado	3a. Escola Regional de Redes de Computadores (ERRC 2005)
trabalhoCompletoEmCongresso	Iara Augustin	2005		Arquitetura de Serviços para o Portal de Compras Pervasivo	IV SImpósio da Região Centro do RS (SIRC 2005)	PIRES, Rafael Pereira ; BELUSSO, Rubens Cesar ; REDIN, Ricardo Miotto ; LIMA, João Carlos Damasceno ; AUGUSTIN, I.	Qualis nao identificado	IV SImpósio da Região Centro do RS (SIRC 2005)
trabalhoCompletoEmCongresso	Iara Augustin	2005		Análise de Sistemas de Gerenciamento de Conteúdo para o Projeto EPOS	IV SImpósio da Região Centro do RS (SIRC 2005)	RIZZETTI, Thiago Antionio ; TROIS, Celio ; LIMA, João Carlos Damasceno ; AUGUSTIN, I.	Qualis nao identificado	IV SImpósio da Região Centro do RS (SIRC 2005)
trabalhoCompletoEmCongresso	Iara Augustin	2005		Análise de Alternativas de Entrega de Dados Independente de Dispositivo em Ambiente de Computação Pervasiva	JITEC 2005 - Jornada Integrada de Tecnologia e Computação	REDIN, Ricardo Miotto ; PIRES, Rafael Pereira ; BELUSSO, Rubens Cesar ; LIMA, João Carlos Damasceno ; AUGUSTIN, I.	Qualis nao identificado	JITEC 2005 - Jornada Integrada de Tecnologia e Computação
trabalhoCompletoEmCongresso	Iara Augustin	2004		Aplicando uma técnica baseada em perfil para balanceamento adaptativo de carga no ISAM	Escola Regional de Alto Desempenho	FRAINER, Gustavo ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin ; SILVA, Luciano Cavalheiro	B5	
trabalhoCompletoEmCongresso	Iara Augustin	2004		Timing Verification Based on Floating Vector Simulation: a Distributed Approach	IBERCHIP 2004	BRUSAMARELLO, Lucas ; AUGUSTIN, I. ; YAMIN, Adenauer ; GEYER, Cláudio F Resin ; REAL, Rodrigo Araujo ; SILVA, Luciano Cavalheiro	Qualis nao identificado	IBERCHIP 2004
trabalhoCompletoEmCongresso	Iara Augustin	2004		ISAMadapt - um ambiente de desenvolvimento de aplicações para a Computação Pervasiva	8th Brazilian Symposium on Programming Language (SBLP)	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; LIMA, João Carlos Damasceno ; GEYER, Cláudio F Resin ; SILVA, Luciano Cavalheiro	B3	SBLP
trabalhoCompletoEmCongresso	Iara Augustin	2004		Uma Arquitetura de Software para Pervasive Computing	CLEI - Congresso Latino-americano de Informática	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; BARBOSA, Jorge V ; GEYER, Cláudio F Resin	Qualis nao identificado	CLEI - Congresso Latino-americano de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2004		Uma Proposta de Descoberta de Recursos no ISAM Pervasive Environment	Workshop GPPD	EGON FILHO, Alberto S ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; SILVA, Luciano Cavalheiro ; GEYER, Cláudio F Resin	Qualis nao identificado	Workshop GPPD
trabalhoCompletoEmCongresso	Iara Augustin	2004		Explorando Adaptação Dinâmica ao Contexto no Projeto de Aplicações da Computação Pervasiva	III Simpósio de Informática da Região Centro	AUGUSTIN, I. ; SILVA, Marcus Lucas da ; PIRES, Rafael Pereira ; REDIN, Ricardo Miotto ; LIMA, João Carlos Damasceno ; GEYER, Cláudio F Resin	Qualis nao identificado	III Simpósio de Informática da Região Centro
trabalhoCompletoEmCongresso	Iara Augustin	2004		PerDiS: um modelo para descoberta de recursos na arquitetura ISAM	Workshop em Computação Sem Fio e Computação Móvel	EGON FILHO, Alberto S ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin ; SILVA, Luciano Cavalheiro	Qualis nao identificado	Workshop em Computação Sem Fio e Computação Móvel
trabalhoCompletoEmCongresso	Iara Augustin	2004		PerDiS, a Scalable Resource Discovery Service for the ISAM Pervasive Environment	Hot Topics in Peer-to-Peer Systems	EGON FILHO, Alberto S ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin ; SILVA, Luciano Cavalheiro	Qualis nao identificado	Hot Topics in Peer-to-Peer Systems
trabalhoCompletoEmCongresso	Iara Augustin	2003		Tratamento de Incerteza no Escalonamento de Recursos em Pervasive Computing	International Conference WWW-Internet	REAL, Rodrigo Araujo ; SILVA, Luciano Cavalheiro da ; YAMIN, Adenauer Correa ; AUGUSTIN, I. ; GEYER, Cláudio F Resin	B2	International Conference WWW/Internet
trabalhoCompletoEmCongresso	Iara Augustin	2003		Resource Scheduling on Grid: Handling Uncertainty	GRID 2003 - International Workshop on Grid Computing	REAL, Rodrigo Araujo ; SILVA, Luciano Cavalheiro da ; YAMIN, Adenauer Correa ; AUGUSTIN, I. ; GEYER, Cláudio F Resin	Qualis nao identificado	GRID 2003 - International Workshop on Grid Computing
trabalhoCompletoEmCongresso	Iara Augustin	2003		Handling the Uncertainty in the Resource Scheduling on Grid Computing	IV International Workshop on Grid Computing (Grid2003)	REAL, Rodrigo Araujo ; YAMIN, Adenauer Correa ; AUGUSTIN, I. ; SILVA, Luciano Cavalheiro da ; BARBOSA, Jorge V ; GEYER, Cláudio F Resin	Qualis nao identificado	IV International Workshop on Grid Computing (Grid2003)
trabalhoCompletoEmCongresso	Iara Augustin	2002		Taxonomy for Mobile Applications with Adaptive Behavior	Pdcn 2002 Int Symp Parallel And Distributed Computing Networking	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; BARBOSA, Jorge V ; GEYER, Cláudio F Resin	Qualis nao identificado	Pdcn 2002 Int Symp Parallel And Distributed Computing Networking
trabalhoCompletoEmCongresso	Iara Augustin	2002		Distributed Mobile Applications with Dynamic Adaptive Behavior	Cata 2002 - 17th Int Conf Computer And Their Applications	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin	Qualis nao identificado	Cata 2002 - 17th Int Conf Computer And Their Applications
trabalhoCompletoEmCongresso	Iara Augustin	2002		ISAM - a Software Architecture for Adaptive and Distributed Mobile Applications	ISCC 2002 - 7th IEEE Symp Computers And Communications	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; BARBOSA, Jorge V ; GEYER, Cláudio F Resin	Qualis nao identificado	ISCC 2002 - 7th IEEE Symp Computers And Communications
trabalhoCompletoEmCongresso	Iara Augustin	2002		Towards a Software Process Model to Support the Design of Mobile Computing Applications	Idpt 2002 - 6th World Conf Integrated Design And Process Technology	REIS, R. ; REIS, C. L. ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin ; NUNES, Daltro	Qualis nao identificado	Idpt 2002 - 6th World Conf Integrated Design And Process Technology
trabalhoCompletoEmCongresso	Iara Augustin	2002		ISAM: a Pervasive View in Distributed Mobile Computing	NET-CON02. Network Control and Engineering for QoS	YAMIN, Adenauer Correa ; AUGUSTIN, I. ; BARBOSA, J. ; GEYER, Cláudio F R	Qualis nao identificado	NET-CON02. Network Control and Engineering for QoS
trabalhoCompletoEmCongresso	Iara Augustin	2002		Collaborative Multilevel Adaptation in Distributed Mobile Applications. 	SCC02. XXII International Conference of the Chilean Computer Science Society.	YAMIN, Adenauer Correa ; AUGUSTIN, I. ; BARBOSA, Jorge V ; SILVA, Luciano Cavalheiro ; CAVALHEIRO, G. G. H. ; GEYER, C. F.	B3	International Conference of the Chilean Computer Science Society
trabalhoCompletoEmCongresso	Iara Augustin	2002		A Framework for Exploiting Adaptation in High Heterogeneous Distributed Processing	14th Symp. Computer Architecture and High Performance Computing	YAMIN, Adenauer ; AUGUSTIN, I. ; SILVA, L. ; REAL, R. ; CAVALHEIRO, G. ; BARBOSA, J. ; GEYER, C.	Qualis nao identificado	14th Symp. Computer Architecture and High Performance Computing
trabalhoCompletoEmCongresso	Iara Augustin	2002		Holoparadigm: a Multiparadigm Model Oriented to Development of Distributed System	Ninth International Conference on Parallel and Distributed Systems. december 17-20.	BARBOSA, J. ; YAMIN, Adenauer ; AUGUSTIN, I. ; GEYER, C.	B1	International Conference on Parallel and Distributed Systems
trabalhoCompletoEmCongresso	Iara Augustin	2002		Towards a Software Process to Support the design of Mobile Computing Applications	World Conference on Integrated Design and Process Technology (IDPT)	REIS, Rodrigo Quites ; REIS, Carla ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; NUNES, Daltro ; GEYER, Cláudio F Resin	Qualis nao identificado	World Conference on Integrated Design and Process Technology (IDPT)
trabalhoCompletoEmCongresso	Iara Augustin	2002		Regional Center and Grid Development in Brazil	Lafex International School on High Energy Physics (LISHEP)	GEYER, Cláudio F Resin ; SILVA, Luciano Cavalheiro da ; YAMIN, Adenauer Correa ; AUGUSTIN, I. ; VARGAS, Patricia Kaiser ; BARBOSA, Jorge V	Qualis nao identificado	Lafex International School on High Energy Physics (LISHEP)
trabalhoCompletoEmCongresso	Iara Augustin	2001		Explorando o Escalonamento no Desempenho de Aplicações Móveis Distribuídas	II Workshop Em Sistemas Computacionais de Alto Desempenho	YAMIN, Adenauer Correa ; AUGUSTIN, I. ; GEYER, Cláudio F Resin ; BARBOSA, Jorge V	Qualis nao identificado	II Workshop Em Sistemas Computacionais de Alto Desempenho
trabalhoCompletoEmCongresso	Iara Augustin	2001		Mecanismos de Suporte ao Escalonamento em Sistemas com Objetos Distribuídos Java	VII Cacic Congreso Argentino de Ciencias de La Computación	SILVA, L. ; YAMIN, Adenauer Correa ; AUGUSTIN, I. ; GEYER, Cláudio F Resin ; BARBOSA, Jorge V	Qualis nao identificado	VII Cacic Congreso Argentino de Ciencias de La Computación
trabalhoCompletoEmCongresso	Iara Augustin	2001		Hierarquia de Gerenciamento de Redes com Componentes Móveis	VIII Cacic Congreso Argentino de Ciencias de La Computación	SILVA, E. ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; BARBOSA, Jorge V ; GEYER, Cláudio F Resin	Qualis nao identificado	VIII Cacic Congreso Argentino de Ciencias de La Computación
trabalhoCompletoEmCongresso	Iara Augustin	2001		Requisitos para o Projeto de Aplicações Móveis Distribuídas	VIII Cacic Congreso Argentino de Ciencias de La Computación	AUGUSTIN, I. ; YAMIN, Adenauer Correa ; BARBOSA, Jorge V ; GEYER, Cláudio F Resin	Qualis nao identificado	VIII Cacic Congreso Argentino de Ciencias de La Computación
trabalhoCompletoEmCongresso	Iara Augustin	2001		Uma Proposta de Monitoração para Visualização de Aplicações Distribuídas Java	Jornadas Chilenas de Computación 2001	ARAÚJO, E. ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; SILVA, L. ; GEYER, Cláudio F Resin	Qualis nao identificado	Jornadas Chilenas de Computación 2001
resumoExpandidoEmCongresso	Iara Augustin	2010	uMED Uma Proposta Baseada em Processamento Semântico para a Medicina Ubíqua	XII Congresso Brasileiro de Informática na Saúde, 2010, Porto de Galinhas, Pernambuco. CBIS 2010	Rodrigues, S. ; Venecian, L. ; AUGUSTIN, I. ; YAMIN, Adenauer Correa	Qualis nao identificado	XII Congresso Brasileiro de Informática na Saúde, 2010, Porto de Galinhas, Pernambuco. CBIS 2010
resumoExpandidoEmCongresso	Iara Augustin	2010	PEHS UM SISTEMA DEINFORMAÇÃO HOSPITALAR COM CARACTERÍSTICAS UBÍQUAS	XII Congresso Brasileiro de Informática na Saúde, 2010, Porto de Galinhas, Pernambuco. CBIS 2010	VICENTINI, Caroline F. ; MACHADO, A. ; AUGUSTIN, I.	Qualis nao identificado	XII Congresso Brasileiro de Informática na Saúde, 2010, Porto de Galinhas, Pernambuco. CBIS 2010
resumoExpandidoEmCongresso	Iara Augustin	2010	APLICAÇÕES MÓVEIS DE ACESSO ÀS INFORMAÇÕES DO PACIENTE	XII Congresso Brasileiro de Informática na Saúde, 2010, Porto de Galinhas, Pernambuco. CBIS 2010	MACHADO, A. ; LORENZI, Fabio ; YAMIN, Adenauer Correa ; LIMA, João Carlos Damasceno ; Librelotto, G. R. ; AUGUSTIN, I.	Qualis nao identificado	XII Congresso Brasileiro de Informática na Saúde, 2010, Porto de Galinhas, Pernambuco. CBIS 2010
resumoExpandidoEmCongresso	Iara Augustin	2008	On the Control of Adaptation in the Ubiquitous Computing Systems	Symposium on Applied Computin (SAC)/ Track DADS, 2008, Fortaleza, CE. Proceedings of SAC 2008. New York: ACM Publisher	SILVA, Luciano Cavalheiro da ; COSTA, C. ; AUGUSTIN, I. ; YAMIN, Adenauer ; GEYER, Cláudio F Resin	Qualis nao identificado	Symposium on Applied Computin (SAC)/ Track DADS, 2008, Fortaleza, CE. Proceedings of SAC 2008. New York: ACM Publisher
resumoExpandidoEmCongresso	Iara Augustin	2008	OntoHealth - Um framework para o gerenciamento de ontologias em ambientes hospitalares pervasivos	II WORKSHOP ON PERVASIVE AND UBIQUITOUS COMPUTING, 2008, CAMPO GRANDE, MS. ANAIS WPUC 2008. Porto Alegre: SBC Editora	Librelotto, G. R. ; GASSEN, J. B. ; TURCHETTI, Rogerio ; FREITAS, L. ; AUGUSTIN, I.	Qualis nao identificado	II WORKSHOP ON PERVASIVE AND UBIQUITOUS COMPUTING, 2008, CAMPO GRANDE, MS. ANAIS WPUC 2008. Porto Alegre: SBC Editora
resumoExpandidoEmCongresso	Iara Augustin	2008	Introduzindo a orientaçao a Tarefas Clínicas em um Middleware de Gerenciamento do Espaço Pervasivo	II WORKSHOP ON PERVASIVE AND UBIQUITOUS COMPUTING, 2008, CAMPO GRANDE, MS. ANAIS WPUC 2008. Porto Alegre: SBC Editora	SILVA, Fábio Lorenzi da ; FERREIRA, Giuliano Lopes ; RIZZETTI, Thiago Antonio ; Librelotto, G. R. ; YAMIN, Adenauer Correa ; AUGUSTIN, I.	Qualis nao identificado	II WORKSHOP ON PERVASIVE AND UBIQUITOUS COMPUTING, 2008, CAMPO GRANDE, MS. ANAIS WPUC 2008. Porto Alegre: SBC Editora
resumoExpandidoEmCongresso	Iara Augustin	2007	Flexible Appplication and Context Aware Adaptation in a Pervasive File System	3rd International Conference on Self-Organization and Autonomous Systems in Computing and Communications, 2007, Leipzi. SOAS 2007	FRAINER, Gustavo ; SILVA, Luciano Cavalheiro da ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F R	Qualis nao identificado	3rd International Conference on Self-Organization and Autonomous Systems in Computing and Communications, 2007, Leipzi. SOAS 2007
resumoExpandidoEmCongresso	Iara Augustin	2008	On Control fo Adaptation in Ubiquitous Computing	ACM Symposium on Applied Computing (SAC) - DADS Track, 2007, Fortaleza, Ceará. Proceedings SAC 2008 - SA. New York: ACM Ed	SILVA, Luciano Cavalheiro ; COSTA, C. ; AUGUSTIN, I. ; YAMIN, Adenauer Correa ; GEYER, Cláudio F Resin	A1	ACM Symposium on Applied Computing
