artigoEmPeriodico	2011	http://dx.doi.org/10.5335	Simulando o Modelo ORC-OR através de autômatos celulares quânticos	Revista Brasileira de Computação Aplicada	Martins, M. ; VIZZOTTO, J. K. ; LIBRELOTTO, G. R.	B5	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.entcs.2011.01.017	Modelling Parallel Quantum Computing Using Transactional Memory	Electronic Notes in Theoretical Computer Science	VIZZOTTO, J. K. ; Du Bois, André Rauber	B1	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.entcs.2008.04.023	Quantum Arrows in Haskell	Electronic Notes in Theoretical Computer Science	VIZZOTTO, J. K. ; COSTA, A. C. R. ; SABRY, A.	B1	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.entcs.2006.12.010	An Algebra of Pure Quantum Programming	Electronic Notes in Theoretical Computer Science, Chicago, Estados Unidos.	ALTENKIRCH, T. ; GRATTAGE, J. ; VIZZOTTO, J. K. ; SABRY, A.	B1	Electronic Notes in Theoretical Computer Science
artigoEmPeriodico	2006		Automatizacão da criacão de mapas com Google Maps	Disciplinarum Scientia. Série Ciências Naturais e Tecnológicas	REIS, T. A. ; BOUFLEUR, M. P. ; VELHO, H. F. C. ; VIZZOTTO, J. K. ; CHARAO, A. S.	C	
artigoEmPeriodico	2006	http://dx.doi.org/10.1017/S0960129506005287	Structuring quantum effects: superoperators as arrows	MSCS. Mathematical Structures in Computer Science	VIZZOTTO, J. K. ; ALTENKIRCH, T. ; SABRY, A.	B2	Mathematical Structures in Computer Science
trabalhoCompletoEmCongresso	2013		Quantum Monad using Java Closures	Workshop Escola de Informática Teórica	CALEGARO, B. C. ; Vizzotto, Juliana Kaizer	Qualis nao identificado	Workshop Escola de Informática Teórica
trabalhoCompletoEmCongresso	2013	http://dx.doi.org/10.1007/978-3-642-40922-6_5	A Double Effect λ-calculus for Quantum Computation	Simpósio Brasileiro de Linguagens de Programação	VIZZOTTO, J. K. ; CALEGARO, B. C. ; PIVETA, E. K.	B3	
trabalhoCompletoEmCongresso	2011		Towards a Quantum Monadic Arrow Lambda-calculus	14th Brazilian Symposium on Formal Methods	VIZZOTTO, J. K.	Qualis nao identificado	14th Brazilian Symposium on Formal Methods
trabalhoCompletoEmCongresso	2010		Simulando o modelo ORCH-OR através de autômatos celulares quânticos	II Simpósio de Computação Aplicada - SCA	Martins, M. ; VIZZOTTO, J. K. ; LIBRELOTTO, G. R.	Qualis nao identificado	II Simpósio de Computação Aplicada - SCA
trabalhoCompletoEmCongresso	2010		Aplicações de Grades Computacionais	X Escola Regional de Alto Desempenho	VIZZOTTO, J. K. ; CHARAO, A. S. ; Souto, R.S. ; VELHO, H. F. C.	B5	Escola Regional de Alto Desempenho
trabalhoCompletoEmCongresso	2010		Quantum Measurements from a Programming Point of View	Workshop Escola de Computação e Informação Quântica	VIZZOTTO, J. K. ; SABRY, A.	Qualis nao identificado	Workshop Escola de Computação e Informação Quântica
