artigoEmPeriodico	Bruno Augusti Mozzaquatro	2012	http://dx.doi.org/10.4013/jacr.2011.12.06	Anomaly-based Techniques for Web Attacks Detection	Journal of Applied Computing Research	MOZZAQUATRO, B. A. ; AZEVEDO, R. P. ; NUNES, R. C. ; KOZAKEVICIUS, A. J. ; CAPPO, C. ; SCHAERER, C.	Qualis nao identificado	Journal of Applied Computing Research
artigoEmPeriodico	Bruno Augusti Mozzaquatro	2011		Uma modelagem ontológica de hospitais pervasivos aplicada ao Ontohealth	Revista do CCEI	FREITAS, Leandro O. ; MOZZAQUATRO, B. A. ; PEREIRA, R. T. ; AZEVEDO, R. P. ; KURTZ, G. C. ; MARTINI, R. G. ; LIBRELOTTO, Giovani R.	B5	
artigoEmPeriodico	Bruno Augusti Mozzaquatro	2008		Um Estudo de Caso sobre Ambientes para Implementação de Aplicações Distribuídas.	Revista do CCEI	MOZZAQUATRO, B. A. ; ALVES, V. M. ; TURCHETTI, R. C. ; LIBRELOTTO, G. R. ; NUNES, R. C.	B5	
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2014		Desvendando RingPaxos: Um protocolo para alta taxa de transferência de dados e difusão atômica em sistemas distribuídos	Computer on The Beach	MACHADO, C. C. ; MOZZAQUATRO, B. A. ; STEFANELLO, A. L. ; SARTURI, T. R. ; SULZBACH, M.	Qualis nao identificado	Computer on The Beach
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2013		O Uso da Transformada de Haar na Detecção de Anomalias no Tráfego Web	XIII Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais	CAPPO, C. ; MOZZAQUATRO, B. A. ; NUNES, R. C. ; KOZAKEVICIUS, A. J. ; SCHAERER, C.	B4	Simpósio de Segurança da Informação e Sistemas Computacionais
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2013		COFFEE: Controlador OpenFlow de Fluxo para Escoamento Eﬁciente de Streaming de Vídeo	Simpósio em Informática da UNIFRA - SIRC	MOZZAQUATRO, B. A. ; MACHADO, C. C. ; LUCCA, M. R. B.	Qualis nao identificado	Simpósio em Informática da UNIFRA - SIRC
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2012		Comparison of Different Threshold Values For a Wavelet Designed Attack Sensor	Congresso Nacional de Matemática Aplicada e Computacional	CAPPO, C. ; SCHAERER, C. ; KOZAKEVICIUS, A. J. ; NUNES, R. C. ; MOZZAQUATRO, B. A.	B4	
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2012		A Methodology for an Architecture of Pervasive Systems to Homecare Environments	4th Conference of ENTERprise Information Systems aligning technology	FREITAS, L. ; PEREIRA, R. T. ; PEREIRA, H. ; MARTINI, R. G. ; MOZZAQUATRO, BRUNO ; KASPER, J. ; LIBRELOTTO, G. R.	Qualis nao identificado	4th Conference of ENTERprise Information Systems aligning technology
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2012		Applying Pervasive Computing in an Architecture for Homecare Environments	IEEE 9th International Conference on Ubiquitous Computing and Intelligence/IEEE 9th International Conference on Autonomic and Trusted Computing	FREITAS, L. ; LIBRELOTTO, G. R. ; PEREIRA, H. ; KASPER, J. ; MARTINI, R. G. ; MOZZAQUATRO, B. A. ; PEREIRA, R. T.	A1	International Conference on Ubiquitous Computing
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2012	http://dx.doi.org/10.1109/CLEI.2012.6427255	An approach to automatic customization of user interfaces for mobile devices in pervasive environments	2012 XXXVIII Conferencia Latinoamericana En Informatica (CLEI)	MARTINI, RICARDO GIULIANI ; LIBRELOTTO, GIOVANI RUBERT ; De Azevedo, Renato Preigschadt ; FIORIN, ANDRE ; KASPER, JEFERSON ; Mozzaquatro, Bruno Augusti ; PEREIRA, RAFAEL	B4	CLEI
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2012	http://dx.doi.org/10.1109/CLEI.2012.6427250	DoS attack detection using a two dimensional wavelet transform	2012 XXXVIII Conferencia Latinoamericana En Informatica (CLEI)	De Azevedo, Renato Preigschadt ; MOZZAQUATRO, BRUNO ; KOZAKEVICIUS, ALICE ; NUNES, RAUL CERETTA ; Cappo, Cristian ; Schaerer, Christian	B4	CLEI
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2012		Comparativo entre Serviços usando a API Geolocation integrado ao HTML5	Encontro Anual de Tecnologia da Informação (EATI)	MOZZAQUATRO, B. A. ; GUBIANI, J. S. ; PEREIRA, H. ; CARLI, D. M. ; CORREA, B. B. ; POSSATTI, A. ; COLUSSO, G.	Qualis nao identificado	Encontro Anual de Tecnologia da Informação (EATI)
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2011	http://dx.doi.org/10.1109/U-MEDIA.2011.51	OntoHealth: A System to Process Ontologies Applied to Health Pervasive Environment	4th International Conference on Ubi-media Computing (U-Media 2011)	LIBRELOTTO, G. R. ; FREITAS, L. ; FIORIN, A ; MOZZAQUATRO, B. A. ; PASETTO, L. ; MARTINI, R. G. ; AZEVEDO, R. P. ; PEREIRA, R. T.	Qualis nao identificado	4th International Conference on Ubi-media Computing (U-Media 2011)
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2011		Detecção de Ataques Web usando Técnicas de Detecção de Anomalias	Escola Regional de Redes de Computadores	MOZZAQUATRO, B. A. ; AZEVEDO, R. P. ; NUNES, R. C. ; KOZAKEVICIUS, A. J. ; CAPPO, C. ; SCHAERER, C.	Qualis nao identificado	Escola Regional de Redes de Computadores
trabalhoCompletoEmCongresso	Bruno Augusti Mozzaquatro	2010		Arquitetura de Segurança para Mecanismos de Controle de Acesso Baseados em Serviços Web	Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais (SBSeg)	MACEDO, R. T. ; MOZZAQUATRO, B. A. ; BIAZUS, L. ; NUNES, R. C.	B4	Simpósio de Segurança da Informação e Sistemas Computacionais
resumoExpandidoEmCongresso	Bruno Augusti Mozzaquatro	2012	Minimizando Riscos Relacionados à Segurança de Web Services	Jornada Acadêmica Integrada da Universidade Federal de Santa Maria, 2012, Santa Maria. Anais 27ª JAI	COLOMÉ, M. L. ; LUCCA, M. R. B. ; MOZZAQUATRO, B. A.	Qualis nao identificado	Jornada Acadêmica Integrada da Universidade Federal de Santa Maria, 2012, Santa Maria. Anais 27ª JAI
resumoExpandidoEmCongresso	Bruno Augusti Mozzaquatro	2011	A Bidimensional Wavelet Transform based Algorithm for DoS Attack Detection	Latin-American Symposium on Dependable Computing, 2011, São José dos Campos. LADC - Latin-American Symposium on Dependable Computing	AZEVEDO, R. P. ; MOZZAQUATRO, B. A. ; CAPPO, C. ; NUNES, R. C. ; KOZAKEVICIUS, A. J.	Qualis nao identificado	Latin-American Symposium on Dependable Computing, 2011, São José dos Campos. LADC - Latin-American Symposium on Dependable Computing
