artigoEmPeriodico	Alex Andre Schmidt	2013	http://dx.doi.org/10.1007/s40314-013-0050-6	Wavelet transform with special boundary treatment for 1D data	Matemática Aplicada e Computacional (Cessou em 1997. Cont. ISSN 1807-0302 Computational Applied Mathematics),	KOZAKEVICIUS, A. ; SCHMIDT, Alex A.	Qualis nao identificado	Matemática Aplicada e Computacional (Cessou em 1997. Cont. ISSN 1807-0302 Computational Applied Mathematics),
artigoEmPeriodico	Alex Andre Schmidt	2011		Towards a phase diagram for La1-xSrxCuO4 High-Tc superconductor with two competing order parameters	Faraute de Ciencias y Tecnología	ROMERO, R. ; RODRÍGUEZ-NÚÑEZ, J. J. ; SCHMIDT, A. A.	Qualis nao identificado	Faraute de Ciencias y Tecnología
artigoEmPeriodico	Alex Andre Schmidt	2011	http://dx.doi.org/10.1007/s10948-011-1175-8	Superconductivity in Itinerant Ferromagnetic Systems	Journal of Superconductivity and Novel Magnetism,	Díaz, A. A. ; RODRÍGUEZ-NÚÑEZ, J. J. ; SCHMIDT, A. A. ; TIFREA, I.	B4	Journal of Superconductivity and Novel Magnetism
artigoEmPeriodico	Alex Andre Schmidt	2011	http://dx.doi.org/10.1007/s10948-010-1112-2	Two-Bands Superconductivity with Intra- and Interband Pairing for Synthetic Superlattices	Journal of Superconductivity and Novel Magnetism (Online)	SCHMIDT, Alex A. ; Perali, Andrea ; Bianconi, Antonio ; José Jesús Rodríguez-Núñez	B4	Journal of Superconductivity and Novel Magnetism
artigoEmPeriodico	Alex Andre Schmidt	2009	http://dx.doi.org/10.1088/1751-8113/42/5/055401	Vanishing conductivity of quantum solitons in polyacetylene	Journal of Physics. A, Mathematical and Theoretical	MONDAINE, L ; MARINO, E C ; SCHMIDT, A. A.	B1	Journal of Physics. A, Mathematical and Theoretical (Print)
artigoEmPeriodico	Alex Andre Schmidt	2009	http://dx.doi.org/10.1007/s10948-009-0466-9	Critical Temperature and Isotope Exponent in a Two-band Model for Superconducting Fe-pnictides	Journal of Superconductivity and Novel Magnetism	RODRÍGUEZ-NÚÑEZ, J. J. ; SCHMIDT, A. A. ; CITRO, R. ; NOCE, C.	B4	
artigoEmPeriodico	Alex Andre Schmidt	2009	http://dx.doi.org/10.1088/0953-2048/22/7/075027	Superconductivity and the isotope exponent versus the number of carriers in a changing hopping triangular lattice	Superconductor Science and Technology	Rodríguez-Núñez, J J ; Schmidt, A A ; GIMÉNEZ, V K	B1	Superconductor Science and Technology (Print)
artigoEmPeriodico	Alex Andre Schmidt	2009	http://dx.doi.org/10.1063/1.3241267	Splitting Wavelet Method for solving 2D Conservation Laws	AIP Conference Proceedings	KOZAKEVICIUS, A. ; SCHMIDT, Alex A.	Qualis nao identificado	AIP Conference Proceedings
resumoExpandidoEmCongresso	Alex Andre Schmidt	2009	Astrophysical properties of binary star clusters in the Small Magellanic Cloud	IAU Symposium 266, 2009, Rio de Janeiro. Star clusters: basic galactic building blocks throughout time and space	Santos, João F. C. ; SCHMIDT, Alex A. ; Bica, Eduardo	Qualis nao identificado	IAU Symposium 266, 2009, Rio de Janeiro. Star clusters: basic galactic building blocks throughout time and space
