artigoEmPeriodico	2008		ACTIVERULESDBX - UMA FERRAMENTA PARA EXECUÇÃO DE REGRAS A PARTIR DA DETECÇÃO DE EVENTOS TEMPORAIS	Gestão (Curitiba)	KASPER, J. ; SIMONETTO, E. O. ; LIBRELOTTO, G. R.	C	
trabalhoCompletoEmCongresso	2006		Extensão para a execução de regras através da detecção de eventos temporais	II Escola Regional de Bancos de Dados	KASPER, J. ; SIMONETTO, E. O.	Qualis nao identificado	II Escola Regional de Bancos de Dados
resumoExpandidoEmCongresso	2008	ACTIVERULESDBX	JISBD 2008 - 13th Conference on Software Engineering and Databases, 2008, 2008, Gijón. JISBD 2008 - 13th Conference on Software Engineering and Databases, 2008	KASPER, J. ; SIMONETTO, E. O. ; LIBRELOTTO, G. R.	Qualis nao identificado	JISBD 2008 - 13th Conference on Software Engineering and Databases, 2008, 2008, Gijón. JISBD 2008 - 13th Conference on Software Engineering and Databases, 2008
