artigoEmPeriodico	2014	http://dx.doi.org/10.1175/jas-d-13-0131.1	The Influence of Submeso Processes on Stable Boundary Layer Similarity Relationships	Journal of the Atmospheric Sciences	ACEVEDO, Otávio C. ; COSTA, FELIPE D. ; OLIVEIRA, PABLO E. S. ; PUHALES, FRANCIANO S. ; Degrazia, Gervásio A. ; ROBERTI, DÉBORA R.	B1	
artigoEmPeriodico	2013		LARGE - EDDY SIMULATION IN LOW WIND CONDITIONS	REVISTA DE CIÊNCIAS EXATAS E NATURAIS	ANFOSSI, Domenico ; MALDANER, S. ; MORTARINI, L. ; RIZZA, Umberto ; DEGRAZIA, G	C	
artigoEmPeriodico	2013		ANALYSIS OF OFFSHORE WIND FLOW: LARGE-EDDY SIMULATION AND SEA OBSERVATIONAL DATA	Ciência e Natura	MALDANER, S. ; MALDANER, S. ; RIZZA, U. ; DEGRAZIA, Gervasio Annes ; SEMPREVIVA, A. M. ; RUBERT, J.	C	
artigoEmPeriodico	2013	http://dx.doi.org/10.5094/APR.2013.019	Derivation of third-order vertical velocity turbulence moment in the convective boundary layer from large eddy simulation data: an application to the dispersion modeling	Atmospheric Pollution Research	Maldaner, Silvana ; DEGRAZIA, Gervasio Annes ; RIZZA, Umberto ; MOREIRA, VIRNEI SILVA ; Puhales, Franciano Scremin ; ACEVEDO, OTAVIO COSTA ; ALVES, IVAN ; DA COSTA CARVALHO, JONAS	C	
artigoEmPeriodico	2013	http://dx.doi.org/10.1155/2013/738024	Connecting Turbulence and Meandering Parameterization to Describe Passive Scalars Dispersion in Low Wind Speed Conditions	ISRN Atmospheric Sciences	MOREIRA, V. S. ; Degrazia, G. ; TIMM, A. U. ; ROBERTI, D. R. ; MALDANER, S.	C	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.physa.2012.09.028	A simple parameterization for the turbulent kinetic energy transport terms in the convective boundary layer derived from large eddy simulation	Physica. A (Print)	Puhales, Franciano Scremin ; RIZZA, Umberto ; Degrazia, Gervásio Annes ; Acevedo, Otávio Costa	B3	
artigoEmPeriodico	2013		INVESTIGATION WITH LARGE-EDDY SIMULATION OF THE SEA BREEZE REGIMES	Ciência e Natura	RIZZA, U. ; MIGLIETTA, M. M. ; Puhales, F. S. ; MALDANER, S. ; MALDANER, S. ; DEGRAZIA, Gervasio Annes	C	
artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.physa.2013.05.009	Sunset decay of the convective turbulence with large-Eddy simulation under realistic conditions	Physica. A (Print)	RIZZA, U. ; MIGLIETTA, M.M. ; Degrazia, G.A. ; Acevedo, O.C. ; MARQUES FILHO, E.P.	B3	
artigoEmPeriodico	2013	http://dx.doi.org/10.1002/met.1284	Large-eddy simulation of the planetary boundary layer under baroclinic conditions during daytime and sunset turbulence	Meteorological Applications (Print)	RIZZA, Umberto ; MIGLIETTA, MARIO M. ; ACEVEDO, Otávio C. ; ANABOR, VAGNER ; DEGRAZIA, GERVASIO A. ; GOULART, Antonio G. ; ZIMMERMAN, HANS R.	B3	
artigoEmPeriodico	2013		Entropic Approach for Emission Rate Estimation of Area Pollutant Sources	American Journal of Environmental Engineering	ROBERTI, Debora R ; ANFOSSSI, D. ; Campos Velho, H. F. ; Degrazia, Gervásio A.	B4	
