artigoEmPeriodico	2013	http://dx.doi.org/10.1016/j.physa.2012.11.009	Characterizing the relative role of low-frequency and turbulent processes in the nocturnal boundary layer through the analysis of two-point correlations of the wind components	Physica. A (Print)	TEICHRIEB, CLAUDIO A. ; ACEVEDO, Otávio C. ; Degrazia, Gervásio A. ; MORAES, Osvaldo L.l. ; ROBERTI, DÉBORA R. ; ZIMERMANN, HANS R. ; SANTOS, DANIEL M. ; ALVES, RITA C.M.	B3	
artigoEmPeriodico	2013	http://dx.doi.org/10.4236/jep.2013.48a1003	An Analytical Air Pollution Model with Time Dependent Eddy Diffusivity	Journal of Environmental Protection (Print)	TIRABASSI, Tiziano ; VILHENA, MARCO TÚLLIO ; BUSKE, DANIELA ; Degrazia, Gervásio Annes	B5	
artigoEmPeriodico	2013		Analysis of Remote Surface Temperature of a Coastal Lagoon in Southern Brazil during the Passage of Frontal Systems	American Journal of Environmental Engineering	XAVIER, M. B. ; ROLIM, S. B. A. ; Degrazia, G. A. ; MOOR, L.	B4	
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s10546-011-9676-3	The Coupling State of an Idealized Stable Boundary Layer	Boundary-Layer Meteorology (Dordrecht. Online)	ACEVEDO, Otávio C. ; COSTA, FELIPE D. ; Degrazia, Gervásio A.	C	Boundary Layer Meteorology (Dordrecht. Online)
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.physa.2012.07.029	Derivation of an eddy diffusivity coefficient on source distance for a shear dominated planetary boundary layer	Physica. A (Print)	Alves, I.P. ; Alves, I.P. ; Degrazia, G.A. ; BUSKE, D. ; VILHENA, M. T. ; Moraes, O.L.L. ; BUSKE, D. ; Degrazia, G.A. ; Vilhena, M.T. ; ACEVEDO, Otávio C.	B3	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.physa.2011.09.015	Employing Taylor and Heisenberg subfilter viscosities to simulate turbulent statistics in LES models	Physica. A (Print)	Degrazia, G.A. ; RIZZA, U. ; Puhales, F.S. ; Welter, G.S. ; Acevedo, O.C. ; MALDANER, S.	B3	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.physa.2011.11.001	An analytical model with temporal variable eddy diffusivity applied to contaminant dispersion in the atmospheric boundary layer	Physica. A (Print)	Vilhena, M.T. ; BUSKE, D. ; Degrazia, G.A. ; Quadros, R.S.	B3	
artigoEmPeriodico	2011	http://dx.doi.org/10.5194/acp-11-9323-2011	Large-Eddy Simulation of a microburst	Atmospheric Chemistry and Physics (Online)	ANABOR, V. ; RIZZA, U. ; Nascimento, E. L. ; Degrazia, G. A.	A2	
artigoEmPeriodico	2011		A Simplified Model for Intermittent Turbulence in the Nocturnal Boundary Layer	Journal of the Atmospheric Sciences	COSTA, F. D. ; ACEVEDO, Otavio ; DEGRAZIA, G	B1	
artigoEmPeriodico	2011		Theoretical Study of the Decaying Convective Turbulence in a She ar- Buoyancy PBL	Physica. A (Print)	Kipper, C. ; DEGRAZIA, G	B3	
artigoEmPeriodico	2011	http://dx.doi.org/10.5094/APR.2011.04	Employing a Lagrangian stochastic dispersion model and classical diffusion experiments to evaluate two turbulence parameterization schemes	Atmospheric Pollution Research	MOREIRA, V. S. ; Degrazia, Gervásio Annes ; ROBERTI, D. ; Timm, Andréa Ucker ; CARVALHO, J.	C	
artigoEmPeriodico	2010		Atmospheric boundary layer adjustment to the synoptic cycle at the Brazil‐Malvinas Confluence, South Atlantic Ocean	Journal of Geophysical Research	ACEVEDO, O. ; DEGRAZIA, G ; PEZZI, ; SOUZA, R. B. ; ANABOR, V.	B2	
artigoEmPeriodico	2010	http://dx.doi.org/10.5194/acpd-10-24345-2010	Numerical modelling of microburst with Large-Eddy Simulation	Atmospheric Chemistry and Physics Discussion (Online)	ANABOR, V. ; RIZZA, U. ; Degrazia, G. A. ; de Lima Nascimento, E. ; DEGRAZIA, G	C	
artigoEmPeriodico	2010		well mixed condition verification in windy and low wind spedd condictions	International Journal of Environment and Pollution	ANFOSSSI, D. ; TINARELLI, G. ; CASTELLI, S. T. ; FERRERO, E. ; OETTL, D ; Degrazia, G.	B5	
artigoEmPeriodico	2010		A semi-analytical solution for the mean wind profile in the Atmospheric Boundary Layer: the convective case	Atmospheric Chemistry and Physics (Print)	BULIGON, L ; DEGRAZIA, G ; ACEVEDO, O C ; SZINVELSKI, Charles ; GOULART, A	A2	
artigoEmPeriodico	2010		Simulating the characteristic patterns of the dispersion during sunset PBL	Atmospheric Research (Print)	CARVALHO, J. C. ; DEGRAZIA, G ; ANFOSSI, D ; GOULART, A ; Mortarini, Luca	B2	
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.physa.2010.09.001	Autocorrelation function formulations and the turbulence dissipation rate: Application to dispersion models	Physica. A (Print)	Degrazia, Gervásio A. ; ACEVEDO, Otávio C. ; CARVALHO, Jonas C. ; Maldaner, Silvana ; Gonçalves, Juliana Bittencourt ; RIZZA, Umberto	B3	
artigoEmPeriodico	2010	http://dx.doi.org/10.1007/s10546-009-9432-0	Morning Boundary-Layer Turbulent Kinetic Energy by Theoretical Models	Boundary - Layer Meteorology	NUNES, A. B. ; Campos Velho, H. F. ; Satyamurty, P. ; Degrazia, G. ; GOULART, A. ; RIZZA, U.	B3	Boundary Layer Meteorology
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.physa.2010.05.059	Estimation of the Kolmogorov constant for the Lagrangian velocity spectrum and structure function under different PBL stability regimes generated by LES	Physica. A (Print),	RIZZA, Umberto ; DEGRAZIA, Gervasio Annes ; MANGIA, Cristina ; Filho, Edson Pereira Marques	B3	Physica. A (Print)
artigoEmPeriodico	2010		DIFUSÃO DE CONTAMINANTES EM CONDIÇÕES DE VENTO FRACO EMPREGANDO UM MODELO ESTOCÁSTICO LAGRANGEANO	Revista Brasileira de Meteorologia (Impresso)	Timm, Andréa Ucker ; ROBERTI, Debora R ; Degrazia, Gervásio A. ; ANFOSSSI, D.	C	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.agrformet.2008.06.014	Is friction velocity the most appropriate scale for correcting nocturnal carbon dioxide fluxes?	Agricultural and Forest Meteorology	ACEVEDO, O ; MORAES, O ; DEGRAZIA, G ; FITZJARRALD, D ; MANZI, A ; CAMPOS, J	B2	Agricultural and Forest Meteorology (Print)
artigoEmPeriodico	2009		LES modelling of microburst wind shear	Ciência e Natura	ANABOR, V ; RIZZA, Umberto ; ELEFANTE, C. ; Degrazia, Gervásio A.	C	
artigoEmPeriodico	2009		Uma solução semianalítica para o perfil do vento médio na Camada Limite Atmosférica: Parte II	Ciência e Natura	BULIGON, L ; SZINVELSKI, C ; ACEVEDO, O. C. ; Degrazia, Gervásio A. ; GOULART, A	C	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.physa.2008.12.060	Estimation of the Kolmogorov constant by large-eddy simulation in the stable PBL	Physica. A	CARVALHO, Jonas C. ; RIZZA, Umberto ; Lovato, Rodrigo ; Degrazia, Gervásio A. ; Filho, Edson P.M. ; Campos, Cláudia R.J.	Qualis nao identificado	Physica. A
artigoEmPeriodico	2009		Funções de autocorrelação e a taxa de dissipação da energia cinética turbulenta	Ciência e Natura	Degrazia, Gervásio A. ; GONCALVES, J.B. ; ACEVEDO, O ; CARVALHO, J.	C	
artigoEmPeriodico	2009		Propriedades do Skewness da velocidade vertical turbulenta no caso de convecção forte: simulação do LES e dados observacionais	Ciência e Natura	Degrazia, Gervásio A. ; MALDANER, S. ; RIZZA, Umberto ; KROTT, L. B. ; GONCALVES, J.B. ; WELTER, G. S. ; PUHALES, F S	C	
artigoEmPeriodico	2009	http://dx.doi.org/10.1007/s10546-009-9360-z	A Variable Mesh Spacing for Large-Eddy Simulation Models in the Convective Boundary Layer	Boundary - Layer Meteorology	Degrazia, Gervásio Annes ; RIZZA, Umberto ; Puhales, Franciano Scremin ; Goulart, Antônio Gledson ; CARVALHO, Jonas ; WELTER, G. S. ; Marques Filho, Edson Pereira	B3	Boundary Layer Meteorology
artigoEmPeriodico	2009		Emprego da parametrização de Heisenberg e do método de Adomain no decaimento da Camada Limite Convectiva	Ciência e Natura	Kipper, C. ; GOULART, A. G. ; Degrazia, Gervásio A.	C	
artigoEmPeriodico	2009	http://dx.doi.org/10.1007/s10546-009-9413-3	Turbulence Intensity Parameters over a Very Complex Terrain	Boundary - Layer Meteorology,	Martins, Cintya A. ; Moraes, Osvaldo L. L. ; ACEVEDO, Otávio C. ; Degrazia, Gervásio A.	B3	Boundary Layer Meteorology
artigoEmPeriodico	2009		Teste de diferentes parametrizações da turbulência utilizando um modelo de disperssão	Ciência e Natura	MOREIRA, V. S. ; TIMM, A U ; ROBERTI, Debora R ; Degrazia, Gervásio A.	C	
artigoEmPeriodico	2009		Convective boundary layer growth: analytical and numerical approaches	Ciência e Natura	NUNES, A ; Campos Velho, H. F. ; SATYAMURTY, P ; Degrazia, Gervásio A. ; DEGRAZIA, Franco Caldas ; FERRAZ, S. E. T. ; GOULART, A. G. ; RIZZA, U.	C	
artigoEmPeriodico	2009		Simulação dos grandes turbilhões aplicada ao ciclo diário da camada limite planetária - Parte 1	Ciência e Natura	PUHALES, F S ; RIZZA, Umberto ; Degrazia, Gervásio A. ; WELTER, G. S. ; COSTA, F. D. ; Martins, L. G. N.	C	
artigoEmPeriodico	2009		Um modelo híbrido para evolução espectral da densidade de energia no período da manhã	Ciência e Natura	SZINVELSKI, C ; BULIGON, L ; Degrazia, Gervásio A. ; GOULART, A. G.	C	
artigoEmPeriodico	2009		Estimativa dos fluxos superficiais de energia utilizando o modelo de superfície Noah	Ciência e Natura	Timm, Andréa Ucker ; ROBERTI, Debora Regina ; MOREIRA, V. S. ; Degrazia, Gervásio A.	C	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.atmosres.2009.03.016	Employing turbulent and meandering time scales to modeling the contaminants enhanced horizontal dispersion	Atmospheric Research (Print)	Ucker Timm, Andréa ; Degrazia, Gervásio Annes ; Roberti, Débora Regina ; ANFOSSI, Domenico	B2	
artigoEmPeriodico	2009		DIFUSÃO DE CONTAMINANTES EM CONDIÇÕES DE VENTO FRACO EMPREGANDO UM MODELO ESTOCÁSTICO LAGRANGEANO	Revista Brasileira de Meteorologia (Impresso)	Ucker Timm, Andréa ; Timm, Andréa Ucker ; ROBERTI, D. ; DEGRAZIA, G ; ANFOSSSI, D.	C	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.physa.2009.05.042	Measurements of the Kolmogorov constant from laboratory and geophysical wind data	Physica. A (Print)	WELTER, G. S. ; WITTWER, A. R. ; DEGRAZIA, G ; ACEVEDO, O ; MORAES, O. L. L. ; ANFOSSI, Domenico	B3	
artigoEmPeriodico	2009		Transformada de Hilbert-Huang e possíveis aplicações à turbulência	Ciência e Natura	WELTER, G. S. ; WITTWER, A. R. ; PUHALES, F S ; COSTA, F D ; Degrazia, Gervásio A. ; ACEVEDO, Otávio C. ; MORAES, O L	C	
artigoEmPeriodico	2009		Distribuições de probabilidade das flutuações de velocidade e concentração nos processos de dispersão de poluentes	Ciência e Natura	WITTWER, A. R. ; WELTER, G. S. ; SOUZA, A Loredo ; SCHETTINI, e ; Degrazia, Gervásio A.	C	
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.physa.2008.02.068	Turbulent statistical characteristics associated to the north wind phonomenon in southern Brazil with application to turbulent diffusion	Physica. A	ARBAGE, M. C. A. ; DEGRAZIA, Gervasio Annes ; WELTER, G. S. ; ROBERTI, Debora R ; ACEVEDO, Otavio ; MORAES, Osvaldo ; FERRAZ, S. E. T. ; TIMM, A U ; MOREIRA, V. S.	Qualis nao identificado	Physica. A
artigoEmPeriodico	2008		Algebraic Formulation for the Dispersion Parameters in an Unstable Planetary Boundary Layer: Application in the Air Pollution Gaussian Model	The Open Atmospheric Science Journal	BULIGON, Lidiane ; DEGRAZIA, Gervasio Annes ; SZINVELSKI, Charles ; GOULART, Antonio G.	C	
artigoEmPeriodico	2008		Turbulence Dissipation Rate Derivation for Meandering Ocurrences in a Stable Planetary Boundary Layer	Atmospheric Chemistry and Physics	DEGRAZIA, Gervasio Annes ; GOULART, Antonio ; CARVALHO, Jonas C ; SZINVELSKI, Charles ; BULIGON, Lidiane ; TIMM, A U	C	Atmospheric Chemistry and Physics Discussion (Print)
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.atmosenv.2007.12.018	Estimation of the Lagrangian Kolmogorov Constant from Eulerian Measurements for distinct Reynolds number with application to pollution dispersion model	Atmospheric Environment	DEGRAZIA, Gervasio Annes ; WELTER, G. S. ; WITTWER, A. R. ; CARVALHO, Jonas da Costa ; ROBERTI, Debora Regina ; ACEVEDO, Otavio ; MORAES, Osvaldo ; VELHO, Haroldo Fraga de Campos	B1	Atmospheric Environment (1994)
artigoEmPeriodico	2008	http://dx.doi.org/10.1016/j.physa.2008.04.007	Comparing spectra and cospectra of turbulence over different surface boundary conditions	Physica. A	MORAES, O ; FITZJARRALD, D ; ACEVEDO, O ; SAKAI, R ; CZIKOWSKY, M ; DEGRAZIA, G	Qualis nao identificado	Physica. A
artigoEmPeriodico	2007	http://dx.doi.org/10.1175/JAM2517.1	Surface-to-Atmosphere Exchange in a River Valley Environment	Journal of Applied Meteorology (Boston)	ACEVEDO, Otávio C. ; MORAES, O L L ; SILVA, R da ; ANABOR, V. ; BITENCOURT, D ; ZIMMERMANN, H ; MAGNAGO, R ; DEGRAZIA, Gervasio Annes	C	Journal of Applied Entomology (Online)
artigoEmPeriodico	2007		Modelagem dos espectros turbulentos observados durante o fenômeno do vento norte	Ciência e Natura	ARBAGE, M. C. A. ; DEGRAZIA, Gervasio Annes	C	
artigoEmPeriodico	2007		Comparação entre os parâmetros de dispersão algébrico e clássico via modelo de pluma gaussiana	Ciência e Natura	BULIGON, L ; SZINVELSKI, Charles ; GOULART, A ; DEGRAZIA, Gervasio Annes	C	
artigoEmPeriodico	2007		Heisenberg´s Turbulent Spectral Theory Determining the Filtering Procedure in LES Models	Ciência e Natura	DEGRAZIA, Gervasio Annes ; ACEVEDO, O. ; VELHO, Haroldo Fraga de Campos ; PUHALES, F S	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.physa.2006.06.020	Derivation of a decorrelation timescale depending on source distance for inhomogeneous turbulence in a convective boundary layer	Physica. A	DEGRAZIA, Gervasio Annes ; CARVALHO, Jonas C ; MOREIRA, Davidson M ; VILHENA, Marco T ; ROBERTI, Debora R ; MAGALHÃES, Sérgio Garcia	Qualis nao identificado	Physica. A
artigoEmPeriodico	2007		Turbulence dissipation rate derivation for meandering occurrences in a stable planetary boundary layer	Atmospheric Chemistry and Physics Discussion (Online)	DEGRAZIA, Gervasio Annes ; GOULART, A. G. ; CARVALHO, J. C. ; SZINVELSKI, C ; BULIGON, L ; TIMM, A U	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.atmosenv.2007.05.004	Employing Heisenberg s turbulent spectral transfer theory to parameterize sub-filter scales in LES models	Atmospheric Environment	DEGRAZIA, Gervasio Annes ; NUNES, A. B. ; SATYAMURTY, P ; ACEVEDO, Otávio C. ; VELHO, H F Campos ; RIZZA, Umberto ; CARVALHO, Jonas C	B1	Atmospheric Environment (1994)
artigoEmPeriodico	2007		A derivation of a variable vertical mesh spacing for LES models: Application to a CBL	Ciência e Natura	DEGRAZIA, Gervasio Annes ; RIZZA, U ; PUHALES, F S ; GOULART, A ; CARVALHO, J. C.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1007/s10652-007-9035-6	A new model for the CBL growth based on the turbulent kinetic energy equation	Environmental Fluid Mechanics (Dordrecht)	GOULART, A. G. ; MOREIRA, D. M. ; VILHENA, M. T. ; DEGRAZIA, Gervasio Annes ; ZILITINKEVICH, S. S.	B2	Environmental Fluid Mechanics (Dordrecht. 2001)
artigoEmPeriodico	2007	http://dx.doi.org/10.1007/s10546-007-9179-4	Theoretical considerations of meandering winds in simplified conditions	Boundary - Layer Meteorology	GOULART, A. G. O. ; DEGRAZIA, Gervasio Annes ; ACEVEDO, Otávio C. ; ANFOSSSI, D.	B3	Boundary Layer Meteorology
artigoEmPeriodico	2007	http://dx.doi.org/10.1016/j.ecolmodel.2007.02.004	Vertical, lateral and longitudinal eddy diffusivities for a decaying turbulence in the convective boundary layer	Ecological Modelling	GOULART, A. G. O. ; VILHENA, Marco Tulio ; DEGRAZIA, Gervasio Annes ; FLORES, D. T.	B3	
artigoEmPeriodico	2007		Simulações LES de uma Camada Limite Convectiva empregando um espaçamento de grade vertical variável	Ciência e Natura	PUHALES, F ; RIZZA, U ; DEGRAZIA, Gervasio Annes ; GOULART, A ; CARVALHO, J.	C	
artigoEmPeriodico	2007		LES modeling of a diurnal cycle	Ciência e Natura	RIZZA, C. ; MANGIA, C ; MIGLIETTA, M. ; A.MOSCATELLO, ; CARVALHO, J. C. ; DEGRAZIA, Gervasio Annes ; PUHALES, F ; MARQUES FILHO, E. P.	C	
artigoEmPeriodico	2007	http://dx.doi.org/10.1393/ncc/i2007-10003-y	Estimation of emission rate from experimental data	Il Nuovo Cimento della Società Italiana di Fisica. C. Geophysics and Space Physics (Online)	ROBERTI, D R ; ANFOSSI, D. ; VELHO, Haroldo F. Campos ; DEGRAZIA, Gervasio Annes	C	
artigoEmPeriodico	2007		Derivação do modelo de pluma gaussiana empregando o método de transformadas integrais	Ciência e Natura	SZINVELSKI, Charles ; BULIGON, L ; DEGRAZIA, Gervasio Annes	C	
artigoEmPeriodico	2007		Estudo da difusão empregando parâmetros turbulentos que descrevem a capacidade de mistura da Camada Limite Planetária	Ciência e Natura	TIMM, A U ; MOREIRA, V. S. ; ROBERTI, D. ; DEGRAZIA, Gervasio Annes	C	
artigoEmPeriodico	2007		Comparação de Diferentes Parametrizações da Turbulência numa Atmosfera Neutra	Ciência e Natura	Virnei Silva Moreira ; TIMM, A U ; ROBERTI, D. ; DEGRAZIA, Gervasio Annes	C	
artigoEmPeriodico	2007		Espectros de turbulência medidos na camada atmosférica superficial e em um túnel de vento de camada limite	Ciência e Natura	WITTWER, A. R. ; WELTER, G. S. ; DEGRAZIA, Gervasio Annes ; SOUZA, A Loredo ; ACEVEDO, Otávio C. ; SCHETTINI, e ; MORAES, Osvaldo L.l.	C	
artigoEmPeriodico	2006	http://dx.doi.org/10.1007/s10546-005-9019-3	Intermittency and the exchange of scalars in the nocturnal surface layer	Boundary - Layer Meteorology, Holanda	ACEVEDO, O. C. ; MORAES, Osvaldo L.l. ; DEGRAZIA, Gervasio Annes ; MEDEIROS, Luis e	B3	Boundary Layer Meteorology
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.atmosenv.2006.05.081	Tracer dispersion simulation in low wind speed conditions witha new 2D Langevin equation system	Atmospheric Environment, Estados Unidos	ANFOSSI, Domenico ; ALESSANDRINI, S ; CASTELLI, Silvia Trini ; FERRERO, Enrico ; OETL, D ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Atmospheric Environment, Estados Unidos
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.atmosenv.2005.09.041	Estimation of the ratio between the Lagrangian and Eulerian time scales in an atmospheric boundary layer generated by large eddy simulation	Atmospheric Environment	ANFOSSI, Domenico ; RIZZA, Umberto ; MANGIA, Cristina ; DEGRAZIA, Gervasio Annes ; MARQUES FILHO, E. P.	B1	Atmospheric Environment (1994)
artigoEmPeriodico	2006		Simulação Euleriana da Dispersão Local da Pluma de Poluente Atmosférico de Candiota-RS	Revista Brasileira de Meteorologia	ARBAGE, M. C. A. ; DEGRAZIA, Gervasio Annes ; MORAES, Osvaldo L.l.	C	Revista Brasileira de Meteorologia (Impresso)
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.physa.2005.11.060	Parameterization of meandering phenomenon in a stable atmospheric boundary layer	Physica. A, Estados Unidos	CARVALHO, J. C. ; DEGRAZIA, Gervasio Annes ; VILHENA, Marco Tulio de ; MAGALHÃES, Sérgio Garcia ; GOULART, A. G. ; ANFOSSI, Domenico ; ACEVEDO, O. C. ; MORAES, O. L. L.	Qualis nao identificado	Physica. A, Estados Unidos
artigoEmPeriodico	2006	http://dx.doi.org/10.1016/j.envsoft.2005.04.001	Semi-analytical solution of the asymptotic Langevin Equation by the Picard Iterative Method	Environmental Modelling Software	SZINVELSKI, Charles ; VILHENA, Marco Tulio ; CARVALHO, Jonas ; DEGRAZIA, Gervasio Annes	C	Environmental Modelling & Software
artigoEmPeriodico	2005		EXPANTAS 2005: Experimento de observação das transferencias entre a superficie e a atmosfera na regiao do rio das antas	Ciência e Natura	ACEVEDO, O ; MORAES, O ; DEGRAZIA, Gervasio Annes ; ANABOR, V ; SILVA, R da ; BITENCOURT, D ; ZIMMERMANN, H ; MAGNAGO, R ; PUHALES, F ; OLIVEIRA, P	C	
artigoEmPeriodico	2005		An analysis of sonic anemometer observations in low wind speed conditions	Boundary - Layer Meteorology, Holanda	ANFOSSI, D ; OETTL, D ; DEGRAZIA, Gervasio Annes ; GOULART, A	B3	Boundary Layer Meteorology
artigoEmPeriodico	2005		Um estudo micrometeorológico associado a um evento de vento norte na regiao central do RS	Ciência e Natura, Santa Maria	ARBAGE, Mc ; DEGRAZIA, Gervasio Annes ; CARVALHO, J C ; WELTER, G. S. ; ROBERTI, D ; ACEVEDO, O ; MORAES, O L L	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005		An iterative langevin solution for contaminant dispersion simulation using the Gram-Charlier PDF	Environmental Modelling and Software. Environmental Modelling And Software, inglaterra	CARVALHO, Jonas da Costa ; NICHIMURA, e R ; VILHENA, Marco Tulio de ; MOREIRA, Davidson Martins ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Environmental Modelling and Software. Environmental Modelling And Software, inglaterra
artigoEmPeriodico	2005		Aplicações da dinâmicas de fluidos em escoamentos na camada limite atmosférica	Ciência e Natura, Santa Maria	DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005		On the universality of the dissipation rate functional form and of the autocorrelation function exponential form	Atmospheric Environment, Inglaterra	DEGRAZIA, Gervasio Annes ; ACEVEDO, Otávio ; CARVALHO, Jonas ; GOULART, Antonio ; MORAES, Osvaldo ; VELHO, Haroldo Campos ; MOREIRA, Davidson	Qualis nao identificado	Atmospheric Environment, Inglaterra
artigoEmPeriodico	2005		Taxa de dissipação turbulenta para eventos de meandro do vento horizontal	Ciência e Natura, Santa Maria	DEGRAZIA, Gervasio Annes ; ANFOSSI, D ; SZINVELSKI, C ; GOULART, A ; BULIGON, L ; ROBERTI, D R ; ACEVEDO, O	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005		Cálculo do período do meandro do vento horizontal a partir de uma solução particular das Equações de Navier Stokes	Ciência e Natura, Santa Maria	GOULART, Antonio ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.atmosenv.2005.01.046	Surface layer turbulence parameters over a complex terrain	Atmospheric Environment, Inglaterra	MORAES, Osvaldo ; ACEVEDO, Otavio ; DEGRAZIA, Gervasio Annes ; ANFOSSI, Domenico ; SILVA, R. ; ANABOR, V.	Qualis nao identificado	Atmospheric Environment, Inglaterra
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.envsoft.2004.11.015	Analytical solution of the advection - diffusion equation with nonlocal closure of the turbulent diffusion	Environmental Modelling Software	MOREIRA, Davidson M ; VILHENA, Marco T ; CARVALHO, Jonas C ; DEGRAZIA, Gervasio Annes	C	Environmental Modelling & Software
artigoEmPeriodico	2005		Verificação de uma restrição física para a escolha da resolução de grade em LES	Ciência e Natura, Santa Maria	NUNES, A B ; VELHO, H F de Campos ; SATYAMURTY, P ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005		A new hypothesis on meandering atmospheric flows in low wind speed conditions	Atmospheric Environment, Inglaterra	OETTL, D ; GOULART, A ; DEGRAZIA, Gervasio Annes ; ANFOSSI, D	Qualis nao identificado	Atmospheric Environment, Inglaterra
artigoEmPeriodico	2005		Modelo Euleriano Bidimensional para a difusão-advecçao turbulenta na camada limite planetaria - parte 2	Ciência e Natura, Santa Maria	PUHALES, F S ; COSTA, F D ; WELTER, G. S. ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
